GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
0500000US35043,35043,"Sandoval County, New Mexico",174000,7599
0500000US35045,35045,"San Juan County, New Mexico",153200,14048
0500000US35049,35049,"Santa Fe County, New Mexico",284800,18138
0500000US35061,35061,"Valencia County, New Mexico",135200,9066
0500000US36001,36001,"Albany County, New York",213300,6723
0500000US36005,36005,"Bronx County, New York",388900,11325
0500000US36007,36007,"Broome County, New York",107300,4664
0500000US36009,36009,"Cattaraugus County, New York",77800,3929
0500000US36011,36011,"Cayuga County, New York",102400,6835
0500000US36013,36013,"Chautauqua County, New York",84300,3760
0500000US36015,36015,"Chemung County, New York",92100,6155
0500000US36019,36019,"Clinton County, New York",131100,10373
0500000US36027,36027,"Dutchess County, New York",299100,7487
0500000US36029,36029,"Erie County, New York",123700,1981
0500000US36045,36045,"Jefferson County, New York",128200,9923
0500000US36047,36047,"Kings County, New York",566700,7643
0500000US36051,36051,"Livingston County, New York",110400,6092
0500000US36053,36053,"Madison County, New York",118900,8129
0500000US36055,36055,"Monroe County, New York",134600,2409
0500000US36059,36059,"Nassau County, New York",463200,3393
0500000US36061,36061,"New York County, New York",825900,34073
0500000US36063,36063,"Niagara County, New York",107700,4053
0500000US36065,36065,"Oneida County, New York",105600,4369
0500000US36067,36067,"Onondaga County, New York",134700,4183
0500000US36069,36069,"Ontario County, New York",134500,6626
0500000US36071,36071,"Orange County, New York",286600,5946
0500000US36075,36075,"Oswego County, New York",92700,3659
0500000US36079,36079,"Putnam County, New York",390400,18718
0500000US36081,36081,"Queens County, New York",464800,6497
0500000US36083,36083,"Rensselaer County, New York",177200,7250
0500000US36085,36085,"Richmond County, New York",452300,7337
0500000US36087,36087,"Rockland County, New York",448300,7696
0500000US36089,36089,"St. Lawrence County, New York",85300,4444
0500000US36091,36091,"Saratoga County, New York",236200,8338
0500000US36093,36093,"Schenectady County, New York",168000,4429
0500000US36101,36101,"Steuben County, New York",86300,3662
0500000US36103,36103,"Suffolk County, New York",390800,3663
0500000US36105,36105,"Sullivan County, New York",183800,13401
0500000US36109,36109,"Tompkins County, New York",167600,5973
0500000US36111,36111,"Ulster County, New York",234300,5216
0500000US36113,36113,"Warren County, New York",205600,11075
0500000US36117,36117,"Wayne County, New York",104200,6265
0500000US36119,36119,"Westchester County, New York",526000,11294
0500000US37001,37001,"Alamance County, North Carolina",132900,6900
0500000US37019,37019,"Brunswick County, North Carolina",190100,17406
0500000US37021,37021,"Buncombe County, North Carolina",192100,8698
0500000US37023,37023,"Burke County, North Carolina",114400,7068
0500000US37025,37025,"Cabarrus County, North Carolina",169000,6382
0500000US37027,37027,"Caldwell County, North Carolina",107200,6890
0500000US37031,37031,"Carteret County, North Carolina",197500,16395
0500000US37035,37035,"Catawba County, North Carolina",130200,7378
0500000US37045,37045,"Cleveland County, North Carolina",110200,6499
0500000US37049,37049,"Craven County, North Carolina",146000,11981
0500000US37051,37051,"Cumberland County, North Carolina",126900,7856
0500000US37057,37057,"Davidson County, North Carolina",133400,6220
0500000US37063,37063,"Durham County, North Carolina",177400,6055
